"ESP32Batt","BLECountUnique","ruuviMac","ruuviMovementDiff","ruuviBatt","ruuviRSSI","DevEUI","time_received","time_received_formatted"
"3268","7","72f5","0","2460","0","9900AABBCCDDEE19","24.6.2020 14.01.27 +03:00","2020-06-24T14:01:27+03:00"
"3268","7","490f","0","2892","0","9900AABBCCDDEE19","24.6.2020 14.01.27 +03:00","2020-06-24T14:01:27+03:00"
"3268","7","0c6d","0","2532","0","9900AABBCCDDEE19","24.6.2020 14.01.27 +03:00","2020-06-24T14:01:27+03:00"
"3268","7","c584","0","2636","0","9900AABBCCDDEE19","24.6.2020 14.01.27 +03:00","2020-06-24T14:01:27+03:00"
"3268","7","dbcc","0","2388","0","9900AABBCCDDEE19","24.6.2020 14.01.27 +03:00","2020-06-24T14:01:27+03:00"
"3268","7","99aa","0","2556","0","9900AABBCCDDEE19","24.6.2020 14.01.27 +03:00","2020-06-24T14:01:27+03:00"
"3268","7","f43d","61","3204","0","9900AABBCCDDEE19","24.6.2020 14.01.27 +03:00","2020-06-24T14:01:27+03:00"
"3268","9","72f5","0","0","-72","9900AABBCCDDEE19","24.6.2020 14.00.18 +03:00","2020-06-24T14:00:18+03:00"
"3268","9","c942","28","0","-85","9900AABBCCDDEE19","24.6.2020 14.00.18 +03:00","2020-06-24T14:00:18+03:00"
"3268","9","0c6d","0","0","-77","9900AABBCCDDEE19","24.6.2020 14.00.18 +03:00","2020-06-24T14:00:18+03:00"
"3268","9","c584","0","0","-70","9900AABBCCDDEE19","24.6.2020 14.00.18 +03:00","2020-06-24T14:00:18+03:00"
"3268","9","dbcc","39","0","-72","9900AABBCCDDEE19","24.6.2020 14.00.18 +03:00","2020-06-24T14:00:18+03:00"
"3268","9","99aa","38","0","-71","9900AABBCCDDEE19","24.6.2020 14.00.18 +03:00","2020-06-24T14:00:18+03:00"
"3268","9","f43d","0","0","-73","9900AABBCCDDEE19","24.6.2020 14.00.18 +03:00","2020-06-24T14:00:18+03:00"
"3268","8","72f5","0","2460","0","9900AABBCCDDEE19","24.6.2020 13.59.09 +03:00","2020-06-24T13:59:09+03:00"
"3268","8","490f","0","2884","0","9900AABBCCDDEE19","24.6.2020 13.59.09 +03:00","2020-06-24T13:59:09+03:00"
"3268","8","c942","38","2484","0","9900AABBCCDDEE19","24.6.2020 13.59.09 +03:00","2020-06-24T13:59:09+03:00"
"3268","8","0c6d","0","2524","0","9900AABBCCDDEE19","24.6.2020 13.59.09 +03:00","2020-06-24T13:59:09+03:00"
"3268","8","c584","0","2628","0","9900AABBCCDDEE19","24.6.2020 13.59.09 +03:00","2020-06-24T13:59:09+03:00"
"3268","8","dbcc","44","2396","0","9900AABBCCDDEE19","24.6.2020 13.59.09 +03:00","2020-06-24T13:59:09+03:00"
"3268","8","f43d","0","3196","0","9900AABBCCDDEE19","24.6.2020 13.59.09 +03:00","2020-06-24T13:59:09+03:00"
"3268","7","72f5","0","0","-78","9900AABBCCDDEE19","24.6.2020 13.58.00 +03:00","2020-06-24T13:58:00+03:00"
"3268","7","c942","20","0","-77","9900AABBCCDDEE19","24.6.2020 13.58.00 +03:00","2020-06-24T13:58:00+03:00"
"3268","7","0c6d","0","0","-81","9900AABBCCDDEE19","24.6.2020 13.58.00 +03:00","2020-06-24T13:58:00+03:00"
"3268","7","c584","9","0","-68","9900AABBCCDDEE19","24.6.2020 13.58.00 +03:00","2020-06-24T13:58:00+03:00"
"3268","7","dbcc","14","0","-67","9900AABBCCDDEE19","24.6.2020 13.58.00 +03:00","2020-06-24T13:58:00+03:00"
"3268","7","99aa","77","0","-74","9900AABBCCDDEE19","24.6.2020 13.58.00 +03:00","2020-06-24T13:58:00+03:00"
"3268","7","f43d","0","0","-78","9900AABBCCDDEE19","24.6.2020 13.58.00 +03:00","2020-06-24T13:58:00+03:00"
"3268","8","72f5","0","2460","0","9900AABBCCDDEE19","24.6.2020 13.56.51 +03:00","2020-06-24T13:56:51+03:00"
"3268","8","490f","0","2892","0","9900AABBCCDDEE19","24.6.2020 13.56.51 +03:00","2020-06-24T13:56:51+03:00"
"3268","8","c942","0","2348","0","9900AABBCCDDEE19","24.6.2020 13.56.51 +03:00","2020-06-24T13:56:51+03:00"
"3268","8","0c6d","0","2516","0","9900AABBCCDDEE19","24.6.2020 13.56.51 +03:00","2020-06-24T13:56:51+03:00"
"3268","8","c584","39","2628","0","9900AABBCCDDEE19","24.6.2020 13.56.51 +03:00","2020-06-24T13:56:51+03:00"
"3268","8","72f5","38","0","-78","9900AABBCCDDEE19","24.6.2020 13.55.42 +03:00","2020-06-24T13:55:42+03:00"
"3268","8","490f","0","0","-81","9900AABBCCDDEE19","24.6.2020 13.55.42 +03:00","2020-06-24T13:55:42+03:00"
"3268","8","c942","0","0","-76","9900AABBCCDDEE19","24.6.2020 13.55.42 +03:00","2020-06-24T13:55:42+03:00"
"3268","8","0c6d","0","0","-81","9900AABBCCDDEE19","24.6.2020 13.55.42 +03:00","2020-06-24T13:55:42+03:00"
"3268","8","c584","0","0","-69","9900AABBCCDDEE19","24.6.2020 13.55.42 +03:00","2020-06-24T13:55:42+03:00"
"3268","8","dbcc","30","0","-72","9900AABBCCDDEE19","24.6.2020 13.55.42 +03:00","2020-06-24T13:55:42+03:00"
"3268","8","f43d","36","0","-72","9900AABBCCDDEE19","24.6.2020 13.55.42 +03:00","2020-06-24T13:55:42+03:00"
"3268","5","72f5","0","2460","0","9900AABBCCDDEE19","24.6.2020 13.54.33 +03:00","2020-06-24T13:54:33+03:00"
"3268","5","490f","0","2892","0","9900AABBCCDDEE19","24.6.2020 13.54.33 +03:00","2020-06-24T13:54:33+03:00"
