time,readable_time,ble,rssi,wifi,dev-id
1592988262479,2020-06-24T08:44:22.479000Z,0,-83,0,D1C114BF764A1500
1592988322480,2020-06-24T08:45:22.480000Z,0,-85,0,D1C114BF764A1500
1592988324576,2020-06-24T08:45:24.576000Z,1,-87,0,D1C114BF764A1501
1592988382483,2020-06-24T08:46:22.483000Z,0,-88,1,D1C114BF764A1500
1592988384578,2020-06-24T08:46:24.578000Z,0,-84,1,D1C114BF764A1501
1592988444582,2020-06-24T08:47:24.582000Z,0,-83,1,D1C114BF764A1501
1592988502483,2020-06-24T08:48:22.483000Z,0,-88,0,D1C114BF764A1500
1592988504581,2020-06-24T08:48:24.581000Z,0,-78,1,D1C114BF764A1501
1592988560582,2020-06-24T08:49:20.582000Z,0,-88,1,D1C114BF764A1501
1592988562480,2020-06-24T08:49:22.480000Z,0,-92,1,D1C114BF764A1500
1592988618480,2020-06-24T08:50:18.480000Z,0,-90,1,D1C114BF764A1500
1592988624578,2020-06-24T08:50:24.578000Z,0,-83,2,D1C114BF764A1501
1592988682482,2020-06-24T08:51:22.482000Z,0,-88,2,D1C114BF764A1500
1592988684578,2020-06-24T08:51:24.578000Z,0,-87,2,D1C114BF764A1501
1592988742506,2020-06-24T08:52:22.506000Z,0,-87,2,D1C114BF764A1500
1592988744580,2020-06-24T08:52:24.580000Z,0,-84,2,D1C114BF764A1501
1592988798483,2020-06-24T08:53:18.483000Z,0,-89,1,D1C114BF764A1500
1592988800579,2020-06-24T08:53:20.579000Z,0,-91,1,D1C114BF764A1501
1592988862484,2020-06-24T08:54:22.484000Z,1,-91,2,D1C114BF764A1500
1592988864580,2020-06-24T08:54:24.580000Z,1,-94,2,D1C114BF764A1501
1592988982484,2020-06-24T08:56:22.484000Z,1,-85,2,D1C114BF764A1500
1592988984579,2020-06-24T08:56:24.579000Z,1,-90,0,D1C114BF764A1501
1592989042484,2020-06-24T08:57:22.484000Z,1,-85,2,D1C114BF764A1500
1592989044579,2020-06-24T08:57:24.579000Z,1,-91,1,D1C114BF764A1501
1592989102484,2020-06-24T08:58:22.484000Z,1,-82,2,D1C114BF764A1500
