timestamp,temperature,humidity,pressure,rssi,acceleration x,acceleration y,acceleration z,voltage,movement counter,measurement sequence number
2020-06-24T07:05:35+0300,26.89,45.79,1022.68,-13,0.008,0.104,1.044,2.533,132,25600
2020-06-24T07:05:42+0300,26.97,45.48,1022.68,-15,0.008,0.096,1.048,2.533,132,26880
2020-06-24T07:05:51+0300,27.06,45.12,1022.67,-12,0.024,0.12,0.96,2.533,136,28672
2020-06-24T07:05:56+0300,27.12,44.91,1022.68,-13,0.008,0.104,1.048,2.533,137,29952
2020-06-24T07:06:02+0300,27.16,44.73,1022.69,-14,0.016,0.108,1.036,2.539,138,30976
2020-06-24T07:06:11+0300,27.21,44.48,1022.68,-15,0.012,0.108,1.04,2.539,138,32768
2020-06-24T07:06:16+0300,27.24,44.38,1022.69,-12,0.016,0.112,1.044,2.539,139,33792
2020-06-24T07:06:22+0300,27.26,44.27,1022.68,-40,-0.372,-0.356,1.352,2.539,142,35072
2020-06-24T07:06:31+0300,27.28,44.17,1022.68,-41,-0.084,-0.196,-1.012,2.539,149,36864
2020-06-24T07:06:36+0300,27.3,44.15,1022.68,-40,-0.092,-0.188,-1.016,2.551,149,37888
2020-06-24T07:06:42+0300,27.31,44.07,1022.69,-38,-0.096,-0.196,-1.008,2.551,149,38912
2020-06-24T07:06:52+0300,27.32,43.92,1022.69,-39,-0.092,-0.192,-1.012,2.545,149,40960
2020-06-24T07:06:58+0300,27.32,43.84,1022.68,-43,-0.1,-0.192,-1.016,2.539,149,42240
2020-06-24T07:07:03+0300,27.33,43.8,1022.68,-40,-0.092,-0.192,-1.016,2.539,149,43264
2020-06-24T07:07:12+0300,27.32,43.7,1022.68,-41,-0.092,-0.188,-1.012,2.545,149,45056
2020-06-24T07:07:18+0300,27.31,43.65,1022.68,-41,-0.084,-0.196,-1.004,2.545,149,46080
2020-06-24T07:07:24+0300,27.29,43.62,1022.67,-41,-0.092,-0.192,-1.016,2.539,149,47360
2020-06-24T07:07:37+0300,27.25,43.54,1022.67,-42,-0.092,-0.192,-1.016,2.545,149,49920
2020-06-24T07:07:52+0300,27.19,43.48,1022.67,-40,-0.092,-0.184,-1.016,2.539,149,52992
2020-06-24T07:08:01+0300,27.15,43.45,1022.67,-62,-0.088,-0.192,-1.012,2.539,149,54784
2020-06-24T07:08:08+0300,27.12,43.42,1022.67,-43,-0.084,-0.188,-1.012,2.551,149,56064
2020-06-24T07:08:14+0300,27.1,43.43,1022.66,-43,-0.092,-0.188,-1.016,2.551,149,57344
2020-06-24T07:08:20+0300,27.07,43.41,1022.67,-46,-0.088,-0.196,-1.012,2.551,149,58624
2020-06-24T07:08:26+0300,27.05,43.38,1022.68,-44,-0.084,-0.184,-1.016,2.551,149,59648
2020-06-24T07:08:32+0300,27.03,43.37,1022.67,-43,-0.092,-0.192,-1.012,2.551,149,60928
2020-06-24T07:08:40+0300,26.99,43.34,1022.67,-48,-0.088,-0.188,-1.012,2.545,149,62720
2020-06-24T07:08:46+0300,26.97,43.33,1022.67,-54,-0.092,-0.188,-1.016,2.545,149,64000
2020-06-24T07:08:56+0300,26.93,43.31,1022.67,-48,-0.092,-0.188,-1.012,2.551,149,513
2020-06-24T07:09:02+0300,26.91,43.31,1022.67,-48,-0.088,-0.196,-1.016,2.551,149,1537
2020-06-24T07:09:09+0300,26.88,43.27,1022.68,-50,-0.088,-0.192,-1.008,2.551,149,2817
2020-06-24T07:09:14+0300,26.86,43.26,1022.69,-51,-0.084,-0.192,-1.008,2.545,149,4097
2020-06-24T07:09:22+0300,26.83,43.26,1022.68,-51,-0.096,-0.188,-1.012,2.545,149,5633
2020-06-24T07:09:28+0300,26.81,43.26,1022.69,-50,-0.088,-0.192,-1.0,2.551,149,6657
2020-06-24T07:09:33+0300,26.79,43.23,1022.69,-48,-0.088,-0.192,-1.016,2.551,149,7937
2020-06-24T07:09:42+0300,26.76,43.23,1022.68,-50,-0.084,-0.192,-1.02,2.545,149,9729
2020-06-24T07:09:48+0300,26.74,43.22,1022.68,-53,-0.092,-0.188,-1.016,2.545,149,10753
2020-06-24T07:09:55+0300,26.72,43.2,1022.68,-37,-0.088,-0.188,-1.012,2.551,149,12033
2020-06-24T07:10:04+0300,26.69,43.18,1022.68,-37,-0.084,-0.192,-1.02,2.545,149,13825
2020-06-24T07:10:09+0300,26.67,43.19,1022.69,-37,-0.088,-0.184,-1.012,2.545,149,15105
2020-06-24T07:10:22+0300,26.63,43.15,1022.71,-37,-0.088,-0.188,-1.0,2.539,149,17665
2020-06-24T07:10:37+0300,26.59,43.13,1022.72,-54,-0.092,-0.188,-1.008,2.545,149,20481
2020-06-24T07:10:43+0300,26.57,43.12,1022.72,-42,-0.088,-0.196,-1.016,2.545,149,21761
2020-06-24T07:10:48+0300,26.56,43.12,1022.72,-49,-0.088,-0.188,-1.012,2.551,149,22785
2020-06-24T07:10:55+0300,26.54,43.1,1022.72,-41,-0.092,-0.184,-1.004,2.551,149,24065
2020-06-24T07:11:01+0300,26.52,43.1,1022.73,-48,-0.088,-0.188,-1.016,2.539,149,25345
2020-06-24T07:11:06+0300,26.51,43.09,1022.73,-48,-0.1,-0.192,-1.0,2.539,149,26369
2020-06-24T07:11:14+0300,26.49,43.15,1022.72,-47,-0.392,-0.176,-0.944,2.527,159,27905
2020-06-24T07:11:20+0300,26.48,43.51,1022.73,-47,0.048,-0.076,-1.016,2.527,166,29185
2020-06-24T07:11:25+0300,26.48,43.73,1022.73,-49,0.056,-0.06,-1.032,2.533,166,30209
2020-06-24T07:11:34+0300,26.5,43.78,1022.72,-44,0.056,-0.068,-1.024,2.527,166,32001
2020-06-24T07:11:40+0300,26.52,43.75,1022.72,-42,0.056,-0.052,-1.024,2.527,166,33025
2020-06-24T07:11:46+0300,26.56,43.66,1022.72,-46,0.052,-0.06,-1.02,2.527,166,34305
2020-06-24T07:11:55+0300,26.6,43.51,1022.72,-54,0.056,-0.064,-1.028,2.527,166,36097
2020-06-24T07:12:00+0300,26.64,43.42,1022.72,-52,0.06,-0.052,-1.032,2.527,166,37121
2020-06-24T07:12:06+0300,26.67,43.34,1022.73,-44,0.06,-0.06,-1.024,2.527,166,38401
2020-06-24T07:12:15+0300,26.72,43.21,1022.72,-42,0.06,-0.068,-1.032,2.527,166,40193
2020-06-24T07:12:21+0300,26.74,43.17,1022.72,-46,0.06,-0.064,-1.024,2.539,166,41217
2020-06-24T07:12:26+0300,26.77,43.09,1022.72,-44,0.06,-0.06,-1.02,2.539,166,42241
