id,time,count,name
79,2020-06-24 08:56:43.711696+00,1,Alueella
80,2020-06-24 08:56:44.111101+00,2,Alueella
81,2020-06-24 08:56:45.732405+00,3,Alueella
82,2020-06-24 08:56:46.16316+00,4,Alueella
86,2020-06-24 08:56:47.818895+00,5,Alueella
87,2020-06-24 08:56:48.519811+00,6,Alueella
88,2020-06-24 08:56:51.071282+00,7,Alueella
89,2020-06-24 08:56:51.761166+00,8,Alueella
90,2020-06-24 08:56:52.450434+00,9,Alueella
91,2020-06-24 08:56:53.293779+00,10,Alueella
103,2020-06-24 09:01:28.012415+00,9,Alueella
104,2020-06-24 09:01:28.050598+00,9,Alueella
105,2020-06-24 09:01:29.032658+00,8,Alueella
106,2020-06-24 09:01:29.561725+00,7,Alueella
107,2020-06-24 09:01:31.278159+00,6,Alueella
108,2020-06-24 09:01:40.002313+00,1,Aktiiviset
109,2020-06-24 09:02:41.567475+00,0,Aktiiviset
110,2020-06-24 09:02:44.625933+00,7,Alueella
111,2020-06-24 09:02:44.74479+00,7,Alueella
112,2020-06-24 09:02:45.547723+00,8,Alueella
113,2020-06-24 09:03:05.08577+00,1,Aktiiviset
114,2020-06-24 09:03:12.231976+00,2,Aktiiviset
115,2020-06-24 09:03:24.788618+00,1,Aktiiviset
116,2020-06-24 09:03:40.54172+00,2,Aktiiviset
117,2020-06-24 09:03:45.783697+00,1,Aktiiviset
118,2020-06-24 09:03:55.794921+00,2,Aktiiviset
119,2020-06-24 09:03:56.254168+00,3,Aktiiviset
120,2020-06-24 09:04:21.236383+00,2,Aktiiviset
121,2020-06-24 09:04:34.133378+00,3,Aktiiviset
122,2020-06-24 09:04:50.581503+00,2,Aktiiviset
123,2020-06-24 09:04:58.31405+00,9,Alueella
124,2020-06-24 09:05:03.492429+00,8,Alueella
125,2020-06-24 09:05:22.475397+00,3,Aktiiviset
126,2020-06-24 09:05:58.07215+00,2,Aktiiviset
127,2020-06-24 09:06:13.314072+00,1,Aktiiviset
128,2020-06-24 09:06:41.254978+00,2,Aktiiviset
129,2020-06-24 09:07:12.686264+00,1,Aktiiviset
130,2020-06-24 09:07:13.256612+00,0,Aktiiviset
131,2020-06-24 09:07:53.143877+00,7,Alueella
132,2020-06-24 09:08:06.439894+00,1,Aktiiviset
133,2020-06-24 09:08:09.329958+00,2,Aktiiviset
134,2020-06-24 09:08:32.689659+00,1,Aktiiviset
135,2020-06-24 09:08:36.161535+00,0,Aktiiviset
136,2020-06-24 09:08:47.565569+00,1,Aktiiviset
137,2020-06-24 09:08:54.609598+00,6,Alueella
138,2020-06-24 09:09:41.255058+00,0,Aktiiviset
139,2020-06-24 09:10:09.178761+00,1,Aktiiviset
140,2020-06-24 09:10:16.067797+00,2,Aktiiviset
141,2020-06-24 09:10:18.934576+00,3,Aktiiviset
142,2020-06-24 09:10:23.951237+00,7,Alueella
143,2020-06-24 09:10:24.557967+00,8,Alueella
144,2020-06-24 09:10:38.044884+00,2,Aktiiviset
145,2020-06-24 09:10:48.331554+00,1,Aktiiviset
146,2020-06-24 09:11:08.374115+00,0,Aktiiviset
147,2020-06-24 09:11:26.757064+00,1,Aktiiviset
148,2020-06-24 09:11:57.55491+00,0,Aktiiviset
149,2020-06-24 09:12:28.998375+00,1,Aktiiviset
150,2020-06-24 09:13:06.269004+00,0,Aktiiviset
151,2020-06-24 09:13:34.998869+00,7,Alueella
152,2020-06-24 09:13:49.028069+00,8,Alueella
153,2020-06-24 09:13:54.248224+00,1,Aktiiviset
154,2020-06-24 09:14:27.397461+00,2,Aktiiviset
155,2020-06-24 09:14:29.138097+00,3,Aktiiviset
156,2020-06-24 09:14:30.196026+00,2,Aktiiviset
157,2020-06-24 09:14:35.884831+00,3,Aktiiviset
158,2020-06-24 09:15:05.318324+00,2,Aktiiviset
159,2020-06-24 09:15:05.449439+00,2,Aktiiviset
160,2020-06-24 09:15:06.128037+00,1,Aktiiviset
161,2020-06-24 09:15:25.424113+00,0,Aktiiviset
162,2020-06-24 09:15:52.234115+00,1,Aktiiviset
163,2020-06-24 09:16:24.831209+00,0,Aktiiviset
164,2020-06-24 09:17:34.860575+00,1,Aktiiviset
165,2020-06-24 09:17:41.375869+00,2,Aktiiviset
166,2020-06-24 09:17:42.766444+00,3,Aktiiviset
167,2020-06-24 09:17:44.993002+00,4,Aktiiviset
168,2020-06-24 09:18:15.281948+00,3,Aktiiviset
169,2020-06-24 09:18:18.900456+00,2,Aktiiviset
170,2020-06-24 09:18:19.367637+00,1,Aktiiviset
171,2020-06-24 09:18:20.563372+00,0,Aktiiviset
172,2020-06-24 09:18:50.241895+00,1,Aktiiviset
