"ruuviMac","ruuviMovement","ruuviMovementDiff","ruuviBatt","ruuviRSSI","DevEUI","time_received","accelerationX","accelerationY","accelerationZ","measurementSequenceNumber","temperature","humidity","pressure","host","location"
"f8:c6:12:37:f4:3d ","206","0","3199","-57","d8:a0:1d:65:7e:18 ","24.6.2020 14.01.58 +03:00","676","-768","-208","19272","35,79","39,51","1025","ESP32RuuviGW-d8a01d657e18 ","hietsun ulkoliikuntasali"
"ed:e3:d2:a0:99:aa ","73","0","2545","-53","d8:a0:1d:65:7e:18 ","24.6.2020 14.01.56 +03:00","-428","-924","-128","16036","32,18","39,03","1025","ESP32RuuviGW-d8a01d657e18 ","hietsun ulkoliikuntasali"
"de:cf:0b:be:0c:6d ","96","0","2539","-71","d8:a0:1d:65:7e:18 ","24.6.2020 14.01.55 +03:00","588","-820","-340","15850","35,19","39,19","1025","ESP32RuuviGW-d8a01d657e18 ","hietsun ulkoliikuntasali"
"de:45:ba:9d:c9:42 ","27","0","2485","-77","d8:a0:1d:65:7e:18 ","24.6.2020 14.01.53 +03:00","-28","900","-400","712","33,76","37,3","1026","ESP32RuuviGW-d8a01d657e18 ","hietsun ulkoliikuntasali"
"c5:0c:b3:a5:72:f5 ","80","0","2461","-60","d8:a0:1d:65:7e:18 ","24.6.2020 14.01.52 +03:00","1052","76","-180","15603","35,44","40,21","1025","ESP32RuuviGW-d8a01d657e18 ","hietsun ulkoliikuntasali"
"f8:c6:12:37:f4:3d ","206","0","3199","-56","d8:a0:1d:65:7e:18 ","24.6.2020 14.01.48 +03:00","680","-772","-204","19263","35,78","39,54","1025","ESP32RuuviGW-d8a01d657e18 ","hietsun ulkoliikuntasali"
"ed:e3:d2:a0:99:aa ","73","0","2545","-53","d8:a0:1d:65:7e:18 ","24.6.2020 14.01.47 +03:00","-432","-924","-132","16027","32,19","39,03","1025","ESP32RuuviGW-d8a01d657e18 ","hietsun ulkoliikuntasali"
"e4:f4:86:52:c5:84 ","12","0","2635","-67","d8:a0:1d:65:7e:18 ","24.6.2020 14.01.45 +03:00","972","264","-212","16288","36,13","38,13","1025","ESP32RuuviGW-d8a01d657e18 ","hietsun ulkoliikuntasali"
"de:45:ba:9d:c9:42 ","27","0","2479","-76","d8:a0:1d:65:7e:18 ","24.6.2020 14.01.44 +03:00","-24","904","-396","704","33,78","37,28","1026","ESP32RuuviGW-d8a01d657e18 ","hietsun ulkoliikuntasali"
"ca:95:7d:02:49:0f ","83","0","2893","-58","d8:a0:1d:65:7e:18 ","24.6.2020 14.01.42 +03:00","532","-820","-264","15319","34,74","37,82","1025","ESP32RuuviGW-d8a01d657e18 ","hietsun ulkoliikuntasali"
"c5:0c:b3:a5:72:f5 ","80","0","2467","-64","d8:a0:1d:65:7e:18 ","24.6.2020 14.01.41 +03:00","1052","72","-180","15594","35,43","40,22","1025","ESP32RuuviGW-d8a01d657e18 ","hietsun ulkoliikuntasali"
"f8:c6:12:37:f4:3d ","206","0","3211","-57","d8:a0:1d:65:7e:18 ","24.6.2020 14.01.37 +03:00","676","-764","-216","19256","35,77","39,55","1025","ESP32RuuviGW-d8a01d657e18 ","hietsun ulkoliikuntasali"
"ed:e3:d2:a0:99:aa ","73","0","2545","-55","d8:a0:1d:65:7e:18 ","24.6.2020 14.01.35 +03:00","-436","-936","-132","16021","32,19","39","1025","ESP32RuuviGW-d8a01d657e18 ","hietsun ulkoliikuntasali"
"de:cf:0b:be:0c:6d ","96","0","2533","-71","d8:a0:1d:65:7e:18 ","24.6.2020 14.01.34 +03:00","584","-820","-332","15835","35,18","39,29","1025","ESP32RuuviGW-d8a01d657e18 ","hietsun ulkoliikuntasali"
"c5:0c:b3:a5:72:f5 ","80","0","2467","-60","d8:a0:1d:65:7e:18 ","24.6.2020 14.01.33 +03:00","1048","76","-184","15588","35,43","40,22","1025","ESP32RuuviGW-d8a01d657e18 ","hietsun ulkoliikuntasali"
"f8:c6:12:37:f4:3d ","206","14","3211","-58","d8:a0:1d:65:7e:18 ","24.6.2020 14.01.28 +03:00","676","-768","-208","19246","35,75","39,56","1025","ESP32RuuviGW-d8a01d657e18 ","hietsun ulkoliikuntasali"
"ed:e3:d2:a0:99:aa ","73","0","2557","-53","d8:a0:1d:65:7e:18 ","24.6.2020 14.01.26 +03:00","-436","-932","-132","16009","32,21","39,01","1025","ESP32RuuviGW-d8a01d657e18 ","hietsun ulkoliikuntasali"
"e5:e7:6c:3f:db:cc ","169","0","2395","-63","d8:a0:1d:65:7e:18 ","24.6.2020 14.01.25 +03:00","716","-712","-168","16108","31,17","39,88","1025","ESP32RuuviGW-d8a01d657e18 ","hietsun ulkoliikuntasali"
"de:cf:0b:be:0c:6d ","96","0","2539","-67","d8:a0:1d:65:7e:18 ","24.6.2020 14.01.23 +03:00","584","-820","-336","15825","35,16","39,38","1025","ESP32RuuviGW-d8a01d657e18 ","hietsun ulkoliikuntasali"
"de:45:ba:9d:c9:42 ","27","13","2485","-74","d8:a0:1d:65:7e:18 ","24.6.2020 14.01.21 +03:00","-12","904","-404","686","33,82","37,29","1026","ESP32RuuviGW-d8a01d657e18 ","hietsun ulkoliikuntasali"
"ca:95:7d:02:49:0f ","83","0","2881","-60","d8:a0:1d:65:7e:18 ","24.6.2020 14.01.20 +03:00","528","-824","-268","15301","34,77","37,78","1025","ESP32RuuviGW-d8a01d657e18 ","hietsun ulkoliikuntasali"
"c5:0c:b3:a5:72:f5 ","80","0","2461","-63","d8:a0:1d:65:7e:18 ","24.6.2020 14.01.18 +03:00","1052","80","-188","15576","35,42","40,24","1025","ESP32RuuviGW-d8a01d657e18 ","hietsun ulkoliikuntasali"
