#TYPE Selected.System.Data.DataRow
"ESP32Batt","BLECountUnique","ruuviMac","ruuviMovementDiff","ruuviBatt","ruuviRSSI","DevEUI","time_received","time_received_formatted"
"3268","15","72f5","0","0","-60","9900AABBCCDDEE19","7.7.2020 14.49.56 +03:00","2020-07-07T14:49:56+03:00"
"3268","15","490f","44","0","-62","9900AABBCCDDEE19","7.7.2020 14.49.56 +03:00","2020-07-07T14:49:56+03:00"
"3268","15","c942","47","0","-68","9900AABBCCDDEE19","7.7.2020 14.49.56 +03:00","2020-07-07T14:49:56+03:00"
"3268","15","0c6d","28","0","-83","9900AABBCCDDEE19","7.7.2020 14.49.56 +03:00","2020-07-07T14:49:56+03:00"
"3268","15","c584","36","0","-80","9900AABBCCDDEE19","7.7.2020 14.49.56 +03:00","2020-07-07T14:49:56+03:00"
"3268","15","99aa","0","0","-68","9900AABBCCDDEE19","7.7.2020 14.49.56 +03:00","2020-07-07T14:49:56+03:00"
"3268","15","f43d","0","0","-70","9900AABBCCDDEE19","7.7.2020 14.49.56 +03:00","2020-07-07T14:49:56+03:00"
"3268","13","72f5","0","2124","0","9900AABBCCDDEE19","7.7.2020 14.48.47 +03:00","2020-07-07T14:48:47+03:00"
"3268","13","c942","0","2316","0","9900AABBCCDDEE19","7.7.2020 14.48.47 +03:00","2020-07-07T14:48:47+03:00"
"3268","13","0c6d","34","3228","0","9900AABBCCDDEE19","7.7.2020 14.48.47 +03:00","2020-07-07T14:48:47+03:00"
"3268","13","99aa","13","2196","0","9900AABBCCDDEE19","7.7.2020 14.48.47 +03:00","2020-07-07T14:48:47+03:00"
"3268","13","f43d","42","2924","0","9900AABBCCDDEE19","7.7.2020 14.48.47 +03:00","2020-07-07T14:48:47+03:00"
"3268","1","72f5","59","0","-60","9900AABBCCDDEE19","7.7.2020 14.47.39 +03:00","2020-07-07T14:47:39+03:00"
"3268","1","c942","57","0","-90","9900AABBCCDDEE19","7.7.2020 14.47.39 +03:00","2020-07-07T14:47:39+03:00"
"3268","1","0c6d","55","0","-80","9900AABBCCDDEE19","7.7.2020 14.47.39 +03:00","2020-07-07T14:47:39+03:00"
"3268","1","99aa","0","0","-74","9900AABBCCDDEE19","7.7.2020 14.47.39 +03:00","2020-07-07T14:47:39+03:00"
"3268","0","490f","0","2748","0","9900AABBCCDDEE19","7.7.2020 14.46.29 +03:00","2020-07-07T14:46:29+03:00"
"3268","0","c942","7","2292","0","9900AABBCCDDEE19","7.7.2020 14.46.29 +03:00","2020-07-07T14:46:29+03:00"
"3268","0","c584","20","2508","0","9900AABBCCDDEE19","7.7.2020 14.46.29 +03:00","2020-07-07T14:46:29+03:00"
"3268","0","99aa","0","2196","0","9900AABBCCDDEE19","7.7.2020 14.46.29 +03:00","2020-07-07T14:46:29+03:00"
"3268","0","f43d","48","2932","0","9900AABBCCDDEE19","7.7.2020 14.46.29 +03:00","2020-07-07T14:46:29+03:00"
