timestamp,temperature,humidity,pressure,rssi,acceleration x,acceleration y,acceleration z,voltage,movement counter,measurement sequence number
2020-07-07T12:30:00+0300,19.69,56.26,1002.84,-48,0.38,0.976,-0.364,2.281,212,13971
2020-07-07T12:30:07+0300,19.71,56.2,1002.85,-55,0.476,0.892,-0.192,2.293,214,15507
2020-07-07T12:30:17+0300,19.75,56.44,1002.82,-49,-0.672,0.72,-0.344,2.335,218,17555
2020-07-07T12:30:24+0300,19.78,56.5,1002.84,-44,-0.736,0.696,-0.26,2.335,226,18835
2020-07-07T12:30:36+0300,19.84,56.47,1002.86,-47,-0.748,0.492,0.068,2.335,237,21395
2020-07-07T12:30:42+0300,19.87,56.47,1002.84,-35,-0.556,1.28,-0.244,2.347,247,22419
2020-07-07T12:30:48+0300,19.9,56.46,1002.86,-32,-0.56,1.012,0.18,2.347,5,23699
2020-07-07T12:30:53+0300,19.93,56.45,1002.87,-41,-0.7,0.732,-0.276,2.347,9,24723
2020-07-07T12:31:02+0300,19.98,56.48,1002.88,-42,-0.204,0.476,1.448,2.347,12,26515
2020-07-07T12:31:10+0300,20.02,56.52,1002.91,-56,-0.228,-0.568,0.852,2.365,15,28051
2020-07-07T12:31:17+0300,20.04,56.59,1002.89,-65,-0.208,-0.532,0.864,2.383,19,29331
2020-07-07T12:31:22+0300,20.07,56.6,1002.93,-63,-0.556,-0.144,0.836,2.383,21,30611
2020-07-07T12:31:30+0300,20.1,56.83,1002.87,-52,0.296,-0.38,0.572,2.377,31,32147
2020-07-07T12:31:36+0300,20.12,57.02,1002.87,-60,-0.368,-0.496,0.824,2.377,34,33171
2020-07-07T12:31:42+0300,20.14,57.1,1002.87,-43,-0.32,-0.552,0.816,2.383,34,34451
2020-07-07T12:31:50+0300,20.18,57.4,1002.86,-52,0.44,-0.716,0.48,2.389,42,36243
2020-07-07T12:31:56+0300,20.2,57.46,1002.86,-54,0.72,-0.664,0.348,2.389,48,37267
2020-07-07T12:32:02+0300,20.22,57.6,1002.88,-60,0.708,-0.696,0.304,2.377,48,38291
2020-07-07T12:32:15+0300,20.27,57.59,1002.87,-58,-0.36,0.308,-0.884,2.365,53,41107
2020-07-07T12:32:21+0300,20.29,57.48,1002.87,-56,-0.6,0.148,-0.796,2.365,58,42131
2020-07-07T12:32:32+0300,20.33,57.34,1002.88,-57,-0.36,0.236,-0.924,2.341,61,44435
2020-07-07T12:32:41+0300,20.37,57.31,1002.9,-63,-0.296,0.22,-0.932,2.251,62,46227
2020-07-07T12:32:46+0300,20.39,57.27,1002.9,-65,-0.324,-0.244,-1.112,2.251,67,47251
2020-07-07T12:32:58+0300,20.43,57.29,1002.9,-56,-0.256,0.004,-0.848,2.197,74,49555
2020-07-07T12:33:03+0300,20.45,57.31,1002.9,-45,-0.888,-1.496,0.5,2.197,85,50579
2020-07-07T12:33:15+0300,20.49,57.2,1002.91,-43,0.336,-0.952,-0.228,2.191,101,52883
2020-07-07T12:33:20+0300,20.51,57.13,1002.92,-61,0.272,-1.084,-0.08,2.191,106,54163
2020-07-07T12:33:27+0300,20.54,57.27,1002.93,-42,-0.308,-0.128,0.668,2.095,112,55443
2020-07-07T12:33:35+0300,20.61,57.56,1002.98,-40,-0.092,-0.756,0.628,2.155,126,56979
2020-07-07T12:33:42+0300,20.68,57.55,1003.04,-52,0.384,-0.696,1.784,2.155,132,58259
2020-07-07T12:33:49+0300,20.77,56.96,1002.74,-50,1.056,0.376,0.404,2.203,145,59795
2020-07-07T12:33:56+0300,20.84,56.55,1002.72,-49,0.996,0.156,-0.196,2.257,150,61331
2020-07-07T12:34:03+0300,20.88,56.32,1002.64,-72,0.996,0.152,-0.196,2.257,150,62611
2020-07-07T12:34:09+0300,20.91,56.19,1002.63,-72,1.016,0.164,-0.172,2.275,154,63635
2020-07-07T12:34:17+0300,20.94,56.02,1002.66,-77,1.012,0.188,-0.196,2.275,156,65171
2020-07-07T12:34:22+0300,20.95,55.95,1002.7,-75,0.9,0.168,-0.436,2.281,159,916
2020-07-07T12:34:29+0300,20.96,55.84,1002.71,-77,0.908,0.164,-0.416,2.281,168,2196
2020-07-07T12:34:35+0300,20.95,55.77,1002.71,-81,0.916,0.168,-0.388,2.293,173,3476
2020-07-07T12:34:52+0300,20.92,55.47,1002.65,-80,0.868,0.16,-0.388,2.299,181,6804
