#TYPE Selected.System.Data.DataRow
"ruuviMac","ruuviMovement","ruuviMovementDiff","ruuviBatt","ruuviRSSI","DevEUI","time_received","time_received_formatted","accelerationX","accelerationY","accelerationZ","measurementSequenceNumber","temperature","humidity","pressure","host","location"
"de:45:ba:9d:c9:42 ","171","14","2287","-63","d8:a0:1d:65:7e:18 ","7.7.2020 14.49.53 +03:00","2020-07-07T14:49:53+03:00","-584","700","164","11945","18,58","53,85","1005","ESP32RuuviGW-d8a01d657e18 ","hietsun ulkoliikuntasali"
"c5:0c:b3:a5:72:f5 ","208","0","2143","-53","d8:a0:1d:65:7e:18 ","7.7.2020 14.49.45 +03:00","2020-07-07T14:49:45+03:00","1024","168","-148","6826","21,95","52,96","1004","ESP32RuuviGW-d8a01d657e18 ","hietsun ulkoliikuntasali"
"f8:c6:12:37:f4:3d ","16","0","2935","-59","d8:a0:1d:65:7e:18 ","7.7.2020 14.49.36 +03:00","2020-07-07T14:49:36+03:00","848","-588","-204","47195","21,96","51,79","1004","ESP32RuuviGW-d8a01d657e18 ","hietsun ulkoliikuntasali"
"e4:f4:86:52:c5:84 ","140","0","2515","-65","d8:a0:1d:65:7e:18 ","7.7.2020 14.49.34 +03:00","2020-07-07T14:49:34+03:00","1008","160","-144","44223","21,14","50,67","1004","ESP32RuuviGW-d8a01d657e18 ","hietsun ulkoliikuntasali"
"de:45:ba:9d:c9:42 ","157","6","2323","-64","d8:a0:1d:65:7e:18 ","7.7.2020 14.49.32 +03:00","2020-07-07T14:49:32+03:00","-572","736","312","11935","18,59","53,85","1005","ESP32RuuviGW-d8a01d657e18 ","hietsun ulkoliikuntasali"
"ca:95:7d:02:49:0f ","145","0","2761","-65","d8:a0:1d:65:7e:18 ","7.7.2020 14.49.30 +03:00","2020-07-07T14:49:30+03:00","640","-788","-236","43254","19,6","53,41","1003","ESP32RuuviGW-d8a01d657e18 ","hietsun ulkoliikuntasali"
"c5:0c:b3:a5:72:f5 ","208","0","2149","-54","d8:a0:1d:65:7e:18 ","7.7.2020 14.49.29 +03:00","2020-07-07T14:49:29+03:00","1036","164","-148","6818","21,95","52,96","1004","ESP32RuuviGW-d8a01d657e18 ","hietsun ulkoliikuntasali"
"e4:f4:86:52:c5:84 ","140","0","2509","-73","d8:a0:1d:65:7e:18 ","7.7.2020 14.49.25 +03:00","2020-07-07T14:49:25+03:00","1004","160","-148","44210","21,14","50,63","1004","ESP32RuuviGW-d8a01d657e18 ","hietsun ulkoliikuntasali"
"de:cf:0b:be:0c:6d ","227","0","3235","-74","d8:a0:1d:65:7e:18 ","7.7.2020 14.49.23 +03:00","2020-07-07T14:49:23+03:00","528","796","-408","6409","23,27","51,07","1004","ESP32RuuviGW-d8a01d657e18 ","hietsun ulkoliikuntasali"
"de:45:ba:9d:c9:42 ","151","5","2323","-64","d8:a0:1d:65:7e:18 ","7.7.2020 14.49.21 +03:00","2020-07-07T14:49:21+03:00","-588","736","312","11923","18,6","53,85","1005","ESP32RuuviGW-d8a01d657e18 ","hietsun ulkoliikuntasali"
"ca:95:7d:02:49:0f ","145","0","2761","-64","d8:a0:1d:65:7e:18 ","7.7.2020 14.49.19 +03:00","2020-07-07T14:49:19+03:00","644","-784","-248","43241","19,61","53,39","1003","ESP32RuuviGW-d8a01d657e18 ","hietsun ulkoliikuntasali"
"c5:0c:b3:a5:72:f5 ","208","0","2143","-53","d8:a0:1d:65:7e:18 ","7.7.2020 14.49.15 +03:00","2020-07-07T14:49:15+03:00","1032","164","-148","6804","21,94","52,9","1004","ESP32RuuviGW-d8a01d657e18 ","hietsun ulkoliikuntasali"
